   2559 dome      20   0   11708   5276   3332 R  13,3   0,3   0:00.02 top
    806 root      20   0  458492 129960  65836 S   6,7   6,6   0:15.15 Xorg
   1176 dome      20   0  879796  81972  45424 S   6,7   4,1   0:07.38 caja
      1 root      20   0  167764  12296   9224 S   0,0   0,6   0:00.84 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftir+
     15 root      20   0       0      0      0 I   0,0   0,0   0:00.09 rcu_pre+
     16 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migrati+
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     20 root      rt   0       0      0      0 S   0,0   0,0   0:00.18 migrati+
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.16 ksoftir+
     23 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     26 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     27 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 inet_fr+
     28 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     30 root      20   0       0      0      0 S   0,0   0,0   0:00.00 khungta+
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     33 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeba+
     34 root      20   0       0      0      0 S   0,0   0,0   0:00.09 kcompac+
     35 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     38 root      39  19       0      0      0 S   0,0   0,0   0:00.28 khugepa+
     39 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegr+
     40 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
     41 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_p+
     42 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 tpm_dev+
     43 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 edac-po+
     44 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 devfreq+
     45 root       0 -20       0      0      0 I   0,0   0,0   0:00.10 kworker+
     46 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kswapd0
     52 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
     54 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/24-+
     55 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/25-+
     56 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/26-+
     57 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/27-+
     58 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/28-+
     59 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/29-+
     60 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/30-+
     61 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/31-+
     62 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/32-+
     63 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/33-+
     64 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/34-+
     65 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/35-+
     66 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/36-+
     67 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/37-+
     68 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/38-+
     69 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/39-+
     70 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/40-+
     71 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/41-+
     72 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/42-+
     73 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/43-+
     74 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/44-+
     75 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/45-+
     76 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/46-+
     77 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/47-+
     78 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/48-+
     79 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/49-+
     80 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/50-+
     81 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/51-+
     82 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/52-+
     83 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/53-+
     84 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/54-+
     85 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/55-+
     86 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_th+
     87 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mld
     88 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_ad+
     93 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
